type,name,dependencies_count,dependencies,header
PROCEDURE,copy_base_hmbs,0,,"CREATE PROCEDURE copy_base_hmbs (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_base_hmbs,1,copy_base_hmbs,"CREATE PROCEDURE [dbo].[copy_base_hmbs] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_base_hmbs,1,copy_base_hmbs,"CREATE PROCEDURE [dbo].[copy_base_hmbs] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_base_nmmhb,1,copy_base_nmmhb,"CREATE PROCEDURE [dbo].[copy_base_nmmhb] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_base_sorc,0,,"CREATE PROCEDURE copy_base_sorc (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_base_zrlc,0,,"CREATE PROCEDURE copy_base_zrlc (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)"
PROCEDURE,copy_delay,0,,"CREATE procedure copy_delay(@fromPymn int,@toPymn int)"
PROCEDURE,copy_psn_to_subprojects,0,,CREATE PROCEDURE copy_psn_to_subprojects @code int
PROCEDURE,copy_psn_to_subprojects,0,,CREATE PROCEDURE copy_psn_to_subprojects @code int
PROCEDURE,CopyMog,1,brv_mogs,CREATE PROCEDURE CopyMog
PROCEDURE,CopyProjectProp,2,"CopyProjectProp, brv_contract",CREATE PROCEDURE [dbo].[CopyProjectProp]
PROCEDURE,CopyProjectProp,2,"CopyProjectProp, brv_contract",CREATE PROCEDURE [dbo].[CopyProjectProp]
PROCEDURE,Correct_Letters_in_Faragamara,0,,CREATE PROCEDURE Correct_Letters_in_Faragamara
PROCEDURE,Correct_Letters_in_Faragamara,0,,CREATE PROCEDURE Correct_Letters_in_Faragamara
PROCEDURE,CreateBrvFhbh,0,,CREATE PROCEDURE CreateBrvFhbh
PROCEDURE,CreateBrvFhbhFk,8,"CreateBrvFhbhFk, brv_ader, brv_bgml, brv_dstb, brv_hmbs, brv_khmt, brv_nmmhb, brv_rzmt",create PROCEDURE [dbo].[CreateBrvFhbhFk]
PROCEDURE,CreateBrvMult,0,,CREATE PROCEDURE CreateBrvMult
PROCEDURE,CreateBrvMultFk,5,"CreateBrvMultFk, brv_acts, brv_fhbh, brv_mult_acts, brv_mult_sub",create PROCEDURE [dbo].[CreateBrvMultFk]
PROCEDURE,delete_all,0,,CREATE PROCEDURE delete_all AS
PROCEDURE,delete_all,0,,CREATE PROCEDURE delete_all AS
PROCEDURE,delete_contract,0,,CREATE PROCEDURE delete_contract @code int
PROCEDURE,delete_contract,0,,CREATE PROCEDURE delete_contract @code int
PROCEDURE,Delete_delay,0,,"create procedure Delete_delay (@Pymn_Id int,@From_rad int ,@To_Rad int)"
PROCEDURE,delete_dly_contract,0,,CREATE PROCEDURE delete_dly_contract @code int
PROCEDURE,DeleteStarItems,1,DeleteStarItems,CREATE PROCEDURE [dbo].[DeleteStarItems]
PROCEDURE,dt_addtosourcecontrol,6,"dt_addtosourcecontrol, dt_adduserobject_vcs, dt_displayoaerror, dt_setpropertybyid, sp_OACreate, sp_OAMethod",create proc dbo.dt_addtosourcecontrol
PROCEDURE,dt_addtosourcecontrol_u,2,"dt_addtosourcecontrol, dt_addtosourcecontrol_u",create proc dbo.dt_addtosourcecontrol_u
PROCEDURE,dt_adduserobject,2,"dt_adduserobject, dtproperties",create procedure dbo.dt_adduserobject
PROCEDURE,dt_adduserobject,2,"dt_adduserobject, dtproperties",create procedure dbo.dt_adduserobject
PROCEDURE,dt_adduserobject_vcs,2,"dt_adduserobject_vcs, dtproperties",create procedure dbo.dt_adduserobject_vcs
PROCEDURE,dt_checkinobject,9,"dt_checkinobject, dt_displayoaerror, dt_getpropertiesbyid_vcs, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod, viwBase1400, viwBase1401",create proc dbo.dt_checkinobject
PROCEDURE,dt_checkinobject_u,2,"dt_checkinobject, dt_checkinobject_u",create proc dbo.dt_checkinobject_u
PROCEDURE,dt_checkinobject_u,2,"dt_checkinobject, dt_checkinobject_u",create proc dbo.dt_checkinobject_u
PROCEDURE,dt_checkoutobject,7,"dt_checkoutobject, dt_displayoaerror, dt_getpropertiesbyid_vcs, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod",create proc dbo.dt_checkoutobject
PROCEDURE,dt_checkoutobject_u,2,"dt_checkoutobject, dt_checkoutobject_u",create proc dbo.dt_checkoutobject_u
PROCEDURE,dt_checkoutobject_u,2,"dt_checkoutobject, dt_checkoutobject_u",create proc dbo.dt_checkoutobject_u
PROCEDURE,dt_displayoaerror,2,"dt_displayoaerror, sp_OAGetErrorInfo",CREATE PROCEDURE dbo.dt_displayoaerror
PROCEDURE,dt_displayoaerror_u,2,"dt_displayoaerror, dt_displayoaerror_u",CREATE PROCEDURE dbo.dt_displayoaerror_u
PROCEDURE,dt_displayoaerror_u,2,"dt_displayoaerror, dt_displayoaerror_u",CREATE PROCEDURE dbo.dt_displayoaerror_u
PROCEDURE,dt_droppropertiesbyid,2,"dt_droppropertiesbyid, dtproperties",create procedure dbo.dt_droppropertiesbyid
PROCEDURE,dt_dropuserobjectbyid,2,"dt_dropuserobjectbyid, dtproperties",create procedure dbo.dt_dropuserobjectbyid
PROCEDURE,dt_generateansiname,1,dt_generateansiname,create procedure dbo.dt_generateansiname(@name varchar(255) output)
PROCEDURE,dt_generateansiname,1,dt_generateansiname,create procedure dbo.dt_generateansiname(@name varchar(255) output)
PROCEDURE,dt_getobjwithprop,2,"dt_getobjwithprop, dtproperties",create procedure dbo.dt_getobjwithprop
PROCEDURE,dt_getobjwithprop_u,2,"dt_getobjwithprop_u, dtproperties",create procedure dbo.dt_getobjwithprop_u
