type,name,dependencies_count,dependencies,header,category
FUNCTION,ReturnZeroWithNullForTinyInt,1,ReturnZeroWithNullForTinyInt,create FUNCTION [dbo].[ReturnZeroWithNullForTinyInt],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullMoney,1,ReturnZeroWithNullMoney,CREATE FUNCTION [dbo].[ReturnZeroWithNullMoney],Utility / نرمال‌سازی مقدار
FUNCTION,text_swap,0,,CREATE FUNCTION text_swap (@text nvarchar(4000)),Utility / نرمال‌سازی مقدار
FUNCTION,VAL,1,VAL,CREATE FUNCTION [dbo].[VAL] (@vchValue nvarchar(255)) RETURNS float,Utility / نرمال‌سازی مقدار
PROCEDURE,Auto_Edit_Act_Units,0,,CREATE PROCEDURE Auto_Edit_Act_Units,نیازمند بررسی
PROCEDURE,Auto_Edit_Grop_Names,0,,CREATE PROCEDURE Auto_Edit_Grop_Names,نیازمند بررسی
PROCEDURE,Auto_Edit_Units,0,,CREATE PROCEDURE Auto_Edit_Units,نیازمند بررسی
PROCEDURE,BRVIMPORT01_prepare,2,"BRVIMPORT01_prepare, brv_importer",CREATE PROCEDURE [dbo].[BRVIMPORT01_prepare],ورود/ایمپورت فایل‌ها
PROCEDURE,BRVIMPORT02_unit,1,BRVIMPORT02_unit,CREATE PROCEDURE [dbo].[BRVIMPORT02_unit],ورود/ایمپورت فایل‌ها
PROCEDURE,BRVIMPORT05_add_ader,0,,CREATE PROCEDURE BRVIMPORT05_add_ader @code int,ورود/ایمپورت فایل‌ها
PROCEDURE,change_book_in_project,14,"brv_HelpFilm, brv_MessageType, brv_SetSms, brv_Tender_AlfaFactor, brv_Tender_Import, brv_Tender_ImportFactors_Base, brv_Tender_Stages, brv_Tender_TendererCount, brv_special_type, change_book_in_project, dbo, pek_dis_point, pek_dis_state, pek_dis_zone","CREATE PROCEDURE [dbo].[change_book_in_project] @code int , @base_nusv int , @base_type int",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,change_book_zarib_name_in_project,0,,CREATE PROCEDURE change_book_zarib_name_in_project @code int,تبدیل/به‌روزرسانی/کپی مبانی
