type,name,dependencies_count,dependencies,header,category
PROCEDURE,UpdateYearCol_Taksa,61,"Atm_detail_fhbh, BaseBarcode, BaseSituNoe, Base_ShakhesYerSeMahe, Report_Frames, Reports, Reports_Tip, TblCtrl, UpdateYearCol_Taksa, atm_contract, atm_detail_fhbh, atm_detail_fhbh_project, base_DocFanni, base_Style_List, base_Style_Title, base_ZrLc, base_acts, base_acts_items, base_acts_type, base_acts_unit, base_ader, base_book, base_dstb, base_fhbh, base_fosi, base_fs, base_fsbs, base_grop, base_grop_name, base_grop_raw, base_hmbs, base_mola_Year, base_mola_haml, base_mola_year, base_nmmhb, base_pakati, base_pvst, base_pvst_fosi, base_shfs, base_shkl, base_shrs, base_sorc, base_tatbigh, base_year, base_zrlc, base_zrtj, brv_Contract, brv_Forms, brv_Tree_Report, brv_ahta, brv_color, brv_contract, brv_fhbh, brv_intp, brv_mult, dbo, pek_ztadil, smn_Tender_FieldPrice, smn_contract, tbl_letters, tbl_words",CREATE PROCEDURE [dbo].[UpdateYearCol_Taksa],Utility / نرمال‌سازی مقدار
PROCEDURE,ValidateDateCol,2,"MakeDate, ValidateDateCol",CREATE PROCEDURE [dbo].[ValidateDateCol],Utility / نرمال‌سازی مقدار
TABLE,base_conc,0,,CREATE TABLE base_conc (,فهرست‌بها / مبانی / شاخص
TABLE,brv_fhbh,1,brv_fhbh,CREATE TABLE [dbo].[brv_fhbh](,نیازمند بررسی
TABLE,brv_mult,1,brv_mult,CREATE TABLE [dbo].[brv_mult](,نیازمند بررسی
TABLE,sysdiagram_properties,3,"dtproperties, sysdiagram_properties, sysdiagrams",CREATE TABLE dbo.sysdiagram_properties,نیازمند بررسی
TABLE,sysdiagrams,2,"sysdiagram_properties, sysdiagrams",CREATE TABLE dbo.sysdiagrams,نیازمند بررسی
TRIGGER,brv_contract_DELETE,2,"brv_contract, brv_contract_DELETE",CREATE TRIGGER [dbo].[brv_contract_DELETE] ON dbo.brv_contract,قفل/حذف/حفظ وابستگی
TRIGGER,child_id_updater,1,pek_reports,CREATE TRIGGER child_id_updater ON dbo.pek_reports,Utility / نرمال‌سازی مقدار
TRIGGER,Role_Delete,1,brv_role,CREATE TRIGGER Role_Delete ON dbo.brv_role,دسترسی/نقش/وضعیت کاربر
TRIGGER,smn_contract_DELETE,1,smn_contract,CREATE TRIGGER smn_contract_DELETE ON dbo.smn_contract,قفل/حذف/حفظ وابستگی
TRIGGER,trg_contract,7,"base_fhbh, base_sorc_list, base_unit_raw, brv_contract, brv_fhbh, brv_sorc_all, trg_contract",CREATE TRIGGER [dbo].[trg_contract] ON dbo.brv_contract,قفل/حذف/حفظ وابستگی
TRIGGER,Trg_Delete,2,"Trg_Delete, base_fhbh",CREATE TRIGGER [dbo].[Trg_Delete] ON dbo.base_fhbh,قفل/حذف/حفظ وابستگی
TRIGGER,Trg_SetDefaultSooratMajlesFieldInRzmt,1,brv_rzmt,CREATE TRIGGER Trg_SetDefaultSooratMajlesFieldInRzmt ON dbo.brv_rzmt,قفل/حذف/حفظ وابستگی
TRIGGER,type_situ_DELETE,30,"brv_TadilKosorat, brv_acts, brv_ader, brv_bgml, brv_documents, brv_dstn_fromto, brv_dstn_fromto_rzmt, brv_dstn_main, brv_dstn_main_rzmt, brv_fhbh, brv_fhpy, brv_fspy, brv_grop, brv_hmbs, brv_hmpy, brv_hmpy_rzmt, brv_intp, brv_khmt, brv_kosorat, brv_m, brv_mult, brv_mult_sub, brv_ovhd, brv_ovpr, brv_ovtj, brv_rzmt, brv_tonl, brv_type_situ, brv_zrtb, type_situ_DELETE",CREATE TRIGGER [dbo].[type_situ_DELETE] ON [dbo].[brv_type_situ],قفل/حذف/حفظ وابستگی
TRIGGER,User_Delete,1,brv_Users,CREATE TRIGGER User_Delete ON dbo.brv_Users,قفل/حذف/حفظ وابستگی
VIEW,distance_view,1,distance_view,CREATE VIEW dbo.[distance_view],ویو گزارش/محاسبات
VIEW,Pek_List,6,"Pek_List, Pek_Msr_List, Pek_Msr_Rabet_Peyman, Pek_Msr_Seri, Pek_Msr_Seri_Degree, Pek_Ostan",CREATE VIEW dbo.Pek_List,گزارش‌ها/درخت گزارش
VIEW,shfs,2,"base_shfs, shfs",CREATE VIEW dbo.shfs,فهرست‌بها / مبانی / شاخص
VIEW,shkl,2,"base_shkl, shkl",CREATE VIEW dbo.shkl,فهرست‌بها / مبانی / شاخص
VIEW,shrs,2,"base_shrs, shrs",CREATE VIEW dbo.shrs,فهرست‌بها / مبانی / شاخص
VIEW,Tender_Shrs,3,"Tender_Shrs, base_book_list, base_shrs",CREATE VIEW [dbo].[Tender_Shrs],مناقصه/پیشنهاد
VIEW,v3,1,base_fhbh,create view v3 as select p.fbh_cofh from (select * from base_fhbh where fbh_year=88 and fbh_ader=1) p inner join,نیازمند بررسی
VIEW,V_Ana,5,"V_Ana, base_nmmhb, base_sorc, base_sorc_list, dt_displayoaerror",CREATE VIEW dbo.V_Ana,نیازمند بررسی
VIEW,V_Shakhes1,3,"Base_ShakhesYerSeMahe, V_Shakhes1, base_shfs",CREATE VIEW [dbo].[V_Shakhes1],ویو گزارش/محاسبات
VIEW,V_Shakhes2,3,"Base_ShakhesYerSeMahe, V_Shakhes2, base_shfs",CREATE VIEW dbo.V_Shakhes2,ویو گزارش/محاسبات
VIEW,V_Shakhes3,8,"Base_ShakhesYerSeMahe, V_Shakhes3, base_shfs, dt_displayoaerror, dt_getpropertiesbyid_vcs, sp_OACreate, sp_OAGetProperty, sp_OAMethod",CREATE VIEW dbo.V_Shakhes3,ویو گزارش/محاسبات
VIEW,V_Shakhes4,3,"Base_ShakhesYerSeMahe, V_Shakhes4, base_shfs",CREATE VIEW dbo.V_Shakhes4,ویو گزارش/محاسبات
VIEW,V_ShakhesReshte1,3,"Base_ShakhesYerSeMahe, V_ShakhesReshte1, base_shrs",CREATE VIEW dbo.V_ShakhesReshte1,ویو گزارش/محاسبات
VIEW,V_ShakhesReshte2,3,"Base_ShakhesYerSeMahe, V_ShakhesReshte2, base_shrs",CREATE VIEW dbo.V_ShakhesReshte2,ویو گزارش/محاسبات
VIEW,V_ShakhesReshte3,3,"Base_ShakhesYerSeMahe, V_ShakhesReshte3, base_shrs",CREATE VIEW dbo.V_ShakhesReshte3,ویو گزارش/محاسبات
VIEW,V_ShakhesReshte4,3,"Base_ShakhesYerSeMahe, V_ShakhesReshte4, base_shrs",CREATE VIEW dbo.V_ShakhesReshte4,ویو گزارش/محاسبات
VIEW,viewbgml,2,"brv_bgml, viewbgml",CREATE VIEW dbo.viewbgml,نیازمند بررسی
VIEW,viwBase1400,5,"base_book, base_fhbh, base_fsbs, brv_mult, viwBase1400",CREATE VIEW [dbo].[viwBase1400],فهرست‌بها / مبانی / شاخص
VIEW,viwBase1401,4,"base_book, base_fhbh, base_fsbs, viwBase1401",CREATE VIEW [dbo].[viwBase1401],فهرست‌بها / مبانی / شاخص
VIEW,viwBase1402,4,"base_book, base_fhbh, base_fsbs, viwBase1402",CREATE VIEW [dbo].[viwBase1402],فهرست‌بها / مبانی / شاخص
VIEW,viwBase1403,4,"base_book, base_fhbh, base_fsbs, viwBase1403",CREATE VIEW [dbo].[viwBase1403],فهرست‌بها / مبانی / شاخص
VIEW,viwBase1404,4,"base_book, base_fhbh, base_fsbs, viwBase1404",CREATE VIEW [dbo].[viwBase1404],فهرست‌بها / مبانی / شاخص
VIEW,viwBase85,4,"base_book, base_fhbh, base_fsbs, viwBase85",CREATE VIEW dbo.viwBase85,فهرست‌بها / مبانی / شاخص
VIEW,viwBase86,4,"base_book, base_fhbh, base_fsbs, viwBase86",CREATE VIEW dbo.viwBase86,فهرست‌بها / مبانی / شاخص
VIEW,viwbase87,4,"base_book, base_fhbh, base_fsbs, viwbase87",CREATE VIEW dbo.viwbase87,فهرست‌بها / مبانی / شاخص
VIEW,viwbase88,4,"base_book, base_fhbh, base_fsbs, viwbase88",CREATE VIEW dbo.viwbase88,فهرست‌بها / مبانی / شاخص
VIEW,viwbase92,4,"base_book, base_fhbh, base_fsbs, viwbase92",CREATE VIEW dbo.viwbase92,فهرست‌بها / مبانی / شاخص
VIEW,viwbase93,4,"base_book, base_fhbh, base_fsbs, viwbase93",CREATE VIEW dbo.viwbase93,فهرست‌بها / مبانی / شاخص
VIEW,viwbase94,4,"base_book, base_fhbh, base_fsbs, viwbase94",CREATE VIEW [dbo].[viwbase94],فهرست‌بها / مبانی / شاخص
VIEW,viwbase95,4,"base_book, base_fhbh, base_fsbs, viwbase95",CREATE VIEW dbo.viwbase95,فهرست‌بها / مبانی / شاخص
VIEW,viwbase96,4,"base_book, base_fhbh, base_fsbs, viwbase96",CREATE VIEW [dbo].[viwbase96],فهرست‌بها / مبانی / شاخص
VIEW,viwBase97,4,"base_book, base_fhbh, base_fsbs, viwBase97",CREATE VIEW dbo.viwBase97,فهرست‌بها / مبانی / شاخص
VIEW,viwBase98,8,"base_book, base_fhbh, base_fsbs, brv_mogs, brv_nmmhb, brv_sorc, brv_sorc_all, viwBase98",CREATE VIEW dbo.viwBase98,فهرست‌بها / مبانی / شاخص
VIEW,viwBase99,4,"base_book, base_fhbh, base_fsbs, viwBase99",CREATE VIEW dbo.viwBase99,فهرست‌بها / مبانی / شاخص
VIEW,viwBase_Added,3,"viwBase98, viwBase99, viwBase_Added",CREATE VIEW dbo.viwBase_Added,فهرست‌بها / مبانی / شاخص
VIEW,viwBase_Added92From88,3,"viwBase_Added92From88, viwbase88, viwbase92",CREATE VIEW dbo.viwBase_Added92From88,فهرست‌بها / مبانی / شاخص
VIEW,viwBase_Deleted,3,"viwBase98, viwBase99, viwBase_Deleted",CREATE VIEW dbo.viwBase_Deleted,قفل/حذف/حفظ وابستگی
VIEW,viwBase_Deleted92From88,3,"viwBase_Deleted92From88, viwbase88, viwbase92",CREATE VIEW dbo.viwBase_Deleted92From88,قفل/حذف/حفظ وابستگی
VIEW,viwBase_Difference,3,"viwBase1403, viwBase1404, viwBase_Difference",CREATE VIEW dbo.viwBase_Difference,فهرست‌بها / مبانی / شاخص
VIEW,viwBase_SamePrice,3,"viwBase1403, viwBase1404, viwBase_SamePrice",CREATE VIEW dbo.viwBase_SamePrice,فهرست‌بها / مبانی / شاخص
VIEW,viwBase_SamePrice92From88,3,"viwBase_SamePrice92From88, viwbase88, viwbase92",CREATE VIEW dbo.viwBase_SamePrice92From88,فهرست‌بها / مبانی / شاخص
VIEW,viwBaseDifference92From88,4,"Compare_Text_for_Base, viwBaseDifference92From88, viwbase88, viwbase92",CREATE VIEW dbo.viwBaseDifference92From88,فهرست‌بها / مبانی / شاخص
VIEW,viwSooratVaziat,4,"dly_contract, dly_sv, dly_vzt, viwSooratVaziat",CREATE VIEW dbo.viwSooratVaziat,ویو گزارش/محاسبات
VIEW,viwTadil,2,"brv_ahta, viwTadil",CREATE VIEW dbo.viwTadil,ویو گزارش/محاسبات
VIEW,viwTakhirat,5,"dly_contract, dly_sv, dly_svz, dly_vzt, viwTakhirat",CREATE VIEW dbo.viwTakhirat,ویو گزارش/محاسبات
VIEW,viwTatbigh_Paykar,1,viwTatbigh_Paykar,CREATE VIEW dbo.viwTatbigh_Paykar,ویو گزارش/محاسبات
VIEW,vwNezarat,7,"smn_Hgzm_Days, smn_Hgzm_Month, smn_Hgzm_Nezarat, smn_Hgzm_Year, smn_contract, smn_nzs_AddItems, vwNezarat",CREATE VIEW dbo.vwNezarat,نیازمند بررسی
