constraint,child_table,child_columns,parent_table,parent_columns,on_update,on_delete
FK_base_sorc_list_base_unit,base_sorc_list,src_unit,base_unit,unt_unit,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_sorc_base_sorc_list,base_sorc,src_link_sorclist,base_sorc_list,src_id,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_sorc_base_book,base_sorc,src_year|src_nufh,base_book,bok_year|bok_nufh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_shrs_base_pvst,base_shrs,shk_pvst|shk_year_pvst,base_pvst,pvs_id|pvs_year_pvst,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_shkl2_base_year,base_shkl,shk_year,base_year,yer_year,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_shkl_base_pvst,base_shkl,shk_pvst|shk_year_pvst,base_pvst,pvs_id|pvs_year_pvst,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_shfs_base_pvst,base_shfs,shk_pvst|shk_year_pvst,base_pvst,pvs_id|pvs_year_pvst,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_shfs_base_fsbs,base_shfs,shk_year_pvst|shk_nufh|shk_nuse,base_fsbs,fsb_year|fsb_nufh|fsb_nuse,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_nmmhb_base_sorc,base_nmmhb,nmb_link_sorclist|nmb_year|nmb_nufh,base_sorc,src_link_sorclist|src_year|src_nufh,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_nmmhb_base_fhbh,base_nmmhb,nmb_year|nmb_nufh|nmb_nuse|nmb_cofh,base_fhbh,fbh_year|fbh_nufh|fbh_nuse|fbh_cofh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_hmbs_base_grop,base_hmbs,hmb_year|hmb_nufh|hmb_grop,base_grop,grp_year|grp_nufh|grp_grop,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_hmbs_base_fhbh,base_hmbs,hmb_year|hmb_nufh|hmb_nuse|hmb_cofh,base_fhbh,fbh_year|fbh_nufh|fbh_nuse|fbh_cofh,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_base_grop_raw_base_grop_name,base_grop_raw,grp_link_grop,base_grop_name,grp_grop,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_grop_base_grop_name,base_grop,grp_grop,base_grop_name,grp_grop,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_grop_base_book,base_grop,grp_year|grp_nufh,base_book,bok_year|bok_nufh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_fsbs_base_book,base_fsbs,fsb_year|fsb_nufh,base_book,bok_year|bok_nufh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_fosi_base_year,base_fosi,pfs_year,base_year,yer_year,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_fosi_base_pvst_fosi,base_fosi,pfs_pvst,base_pvst_fosi,psf_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_fosi_base_fs,base_fosi,pfs_dscr,base_fs,fs_dscr,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_fhbh_base_unit,base_fhbh,fbh_unit,base_unit,unt_unit,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_fhbh_base_fsbs,base_fhbh,fbh_year|fbh_nufh|fbh_nuse,base_fsbs,fsb_year|fsb_nufh|fsb_nuse,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_fhbh_base_acut,base_fhbh,fbh_tyun,base_tyun,tyn_tyun,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_dstb_base_grop,base_dstb,dsb_year|dsb_nufh|dsb_grop,base_grop,grp_year|grp_nufh|grp_grop,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_book_base_year,base_book,bok_year,base_year,yer_year,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_book_base_book_list,base_book,bok_nufh,base_book_list,bls_nufh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_ader_base_fhbh1,base_ader,adr_year|adr_nufh|adr_nuse_moth|adr_cofh_moth,base_fhbh,fbh_year|fbh_nufh|fbh_nuse|fbh_cofh,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_base_ader_base_fhbh,base_ader,adr_year|adr_nufh|adr_nuse|adr_cofh,base_fhbh,fbh_year|fbh_nufh|fbh_nuse|fbh_cofh,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_base_acts_items_base_fhbh,base_acts_items,aci_year|aci_nufh|aci_nuse|aci_cofh,base_fhbh,fbh_year|fbh_nufh|fbh_nuse|fbh_cofh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_acts_items_base_acts,base_acts_items,aci_coac|aci_type,base_acts,act_coac|act_type,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_base_acts_base_acts_unit,base_acts,act_unit,base_acts_unit,acu_unit,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_base_acts_base_acts_type,base_acts,act_type,base_acts_type,acp_type,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_Parts_history_atm_Detail_Parts,Atm_Parts_history,dpth_Detail_Index|dpth_Part_Index,atm_Detail_Parts,dpt_Detail_Index|dpt_Part_Index,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_ParamValue_Part_Atm_Parameters,Atm_ParamValue_Part,prmvp_detail_index|prmvp_parameter_id,Atm_Parameters,prm_Detail_Index|prm_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_ParamValue_Part_atm_Detail_Parts,Atm_ParamValue_Part,prmvp_detail_index|prmvp_Part_ID,atm_Detail_Parts,dpt_Detail_Index|dpt_Part_Index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Parameters_Project_atm_Detail_Parts_Project,atm_Parameters_Project,prm_Link_Project|prm_Detail_Index|prm_Part_Index,atm_Detail_Parts_Project,dpt_Link_Project|dpt_Detail_Index|dpt_Part_Index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_Parameters_Atm_detail,Atm_Parameters,prm_Detail_Index,Atm_detail,det_index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_Param_Values_history_Atm_param_history,Atm_Param_Values_history,prmvh_detail_index|prmvh_Part_Index|prmvh_parameter_id,Atm_param_history,prmh_Detail_Index|prmh_Part_Index|prmh_id,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_Param_values_Atm_Parameters,Atm_Param_values,prmv_detail_index|prmv_parameter_id,Atm_Parameters,prm_Detail_Index|prm_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_param_history_atm_Detail_Parts,Atm_param_history,prmh_Detail_Index|prmh_Part_Index,atm_Detail_Parts,dpt_Detail_Index|dpt_Part_Index,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_Detail_Property_Atm_detail,Atm_Detail_Property,prop_Detail_index,Atm_detail,det_index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_Detail_Prop_History_atm_Detail_Parts,Atm_Detail_Prop_History,proph_Detail_index|proph_Part_Index,atm_Detail_Parts,dpt_Detail_Index|dpt_Part_Index,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_atm_Detail_Project_atm_Contract,atm_Detail_Project,det_Link_Proj,atm_Contract,ctc_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Parts_Project_atm_Operation,atm_Detail_Parts_Project,dpt_operation,atm_Operation,opr_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Parts_Project_atm_Detail_Project,atm_Detail_Parts_Project,dpt_Link_Project|dpt_Detail_Index,atm_Detail_Project,det_Link_Proj|det_Index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Parts_base_unit,atm_Detail_Parts,dpt_unit,base_unit,unt_unit,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Parts_atm_Operation,atm_Detail_Parts,dpt_operation,atm_Operation,opr_id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Parts_Atm_detail,atm_Detail_Parts,dpt_Detail_Index,Atm_detail,det_index,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_Detail_Fhbh_Project_atm_Detail_Parts_Project,atm_Detail_Fhbh_Project,dfh_Link_Project|dfh_Detail_Index|dfh_Part_Index,atm_Detail_Parts_Project,dpt_Link_Project|dpt_Detail_Index|dpt_Part_Index,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_detail_fhbh_base_book,Atm_detail_fhbh,dfh_year|dfh_nufh,base_book,bok_year|bok_nufh,"CASCADE
  ON DELETE CASCADE",CASCADE
FK_Atm_detail_fhbh_atm_Detail_Parts,Atm_detail_fhbh,dfh_Detail_Index|dfh_Part_Index,atm_Detail_Parts,dpt_Detail_Index|dpt_Part_Index,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_atm_abro_w_atm_abro_Type,atm_abro_w,Type_Id,atm_abro_Type,Id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Atm_Abro_Parameter_atm_abro_h,Atm_Abro_Parameter,H_id,atm_abro_h,Id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_atm_abro_h_atm_abro_w,atm_abro_h,W_Id,atm_abro_w,Id,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
