source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips.txt,46,پيمان,برآورد,امکان برآورد کردن پروژه با احتساب تعدیل با تعیین دوره مبنا و جاری در سیستم وجود دارد .,تعریف برآورد و آیتم‌های پایه
tx_tips.txt,47,ضرایب,ضرایب,امکان تعریف ضرایب به تفکیک نوع آیتم ها از قبیل ستاره دار، فاکتوری و یا عادی وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips.txt,48,ضرایب,ضرایب,امکان تعریف عنوان ضرایب جدید و خاص پروژه جاری و نیز تغییر عناوین موجود وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips.txt,49,ضرایب,فهرست‌بها / دفترچه,امکان مشاهده ضرایب منطقه ای هر دفترچه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,50,ضرایب,ضرایب,امکان محاسبه ضرایب طبقات و ارتفاع (ارتفاع مساوی یا غیرهمسان) وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips.txt,51,امکان کپی و Paste بین رکوردهای هر فرم از یک پروژه به سایر بخشهای مرتبط آن در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips.txt,52,امکان تعریف موقعیت و ضریب برای هر یک از آنهادر سیستم وجود دارد .,ضرایب,,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_psn.txt,1,دفترچه ها,فهرست‌بها / دفترچه,محاسبه مبلغ تجهیز به روشهای گوناگون از جمله درصدی از مبلغ خالص یا با ضرایب، مبلغ فصل 42، مقطوع به همراه تسهیلات انجام مي گيرد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,2,مابه التفاوت آهن و سیمان,تعدیل / شاخص,امکان محاسبه مابه التفاوت آهن و سیمان به روش فاقد تعدیل و  نیز براساس بخشنامه 23239 وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_psn.txt,3,مابه التفاوت آهن و سیمان,مابه‌التفاوت / اختلاف,دسترسی به قیمت های آزاد و پیوستهای یک و دو وجود دارد .,محاسبه اختلاف و مابه‌التفاوت اقلام
tx_tips_psn.txt,4,آنالیزبها,آنالیز بها / منابع,آنالیز تمام ردیف های برگه مالی براساس عوامل چهارگانه نیروی انسانی، ماشین آلات، مصالح و حمل، به همراه درصدهای وزنی هر یک از منابع و عوامل وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,5,آنالیزبها,آنالیز بها / منابع,امکان مقایسه مبلغ آنالیزی و بهای واحد آیتم فهرست بها و نیز محاسبه درصد رشد این دو نسبت به هم وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,6,آنالیزبها,آنالیز بها / منابع,امکان آنالیز تمام ردیف های برگه مالی، 65% ، انتخابی، ستاره دارها و ... وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,7,آناليزبها,آنالیز بها / منابع,امکان جایگزینی قیمت آنالیز شده با بهای واحد آیتم در برگه مالی ، وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,8,آنالیزبها و منابع,آنالیز بها / منابع,امکان فراخوانی قیمت های پایه از سه منابع سازمان مدیریت، مرکز آمار ایران، و همچنین قیمت روز وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,9,منابع,آنالیز بها / منابع,امکان مشاهده کل منابع موجود در پروژه براساس آنالیز و مقادیر آیتم ها در برگه مالی، وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,10,منابع,آنالیز بها / منابع,امکان مشاهده درصد وزنی هر عامل در یک پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,11,محاسبه کامل,عمومی / نامشخص,امکان محاسبه تمام فرم های سیستم به صورت یکباره، با توانایی اعمال هر نوع عملیات مختص خود فرم ها وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,12,تاخیرات,عمومی / نامشخص,محاسبه تاخیرات مربوط به تاخیر در پرداخت وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,13,زمان بندی,عمومی / نامشخص,رسم نمودار گانت هر فعالیت و زمانبندی آن در داخل خود برنامه با توجه به زیرردیف های هر فعالیت وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,14,انتقال,آنالیز بها / منابع,انتقال پروژه به MSP (برنامه کنترل پروژه) براساس آنالیزهای ردیف های پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,15,گزارشات,گزارش / چاپ,امکان ویرایش گزارشات در محیط Crystal Reports,خروجی قابل چاپ/PDF/Excel
