path,name,category,size_kb,year_tokens
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_12.pdf,Note_NI_1404_12.pdf,یادداشت فهرست‌بها / فصل‌ها,1377.2,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_14.pdf,Note_NI_1404_14.pdf,یادداشت فهرست‌بها / فصل‌ها,870.0,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_15.pdf,Note_NI_1404_15.pdf,یادداشت فهرست‌بها / فصل‌ها,839.6,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_16.pdf,Note_NI_1404_16.pdf,یادداشت فهرست‌بها / فصل‌ها,771.3,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_17.pdf,Note_NI_1404_17.pdf,یادداشت فهرست‌بها / فصل‌ها,1148.1,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_18.pdf,Note_NI_1404_18.pdf,یادداشت فهرست‌بها / فصل‌ها,577.7,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_19.pdf,Note_NI_1404_19.pdf,یادداشت فهرست‌بها / فصل‌ها,907.8,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_2.pdf,Note_NI_1404_2.pdf,یادداشت فهرست‌بها / فصل‌ها,1604.5,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_20.pdf,Note_NI_1404_20.pdf,یادداشت فهرست‌بها / فصل‌ها,878.3,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_21.pdf,Note_NI_1404_21.pdf,یادداشت فهرست‌بها / فصل‌ها,710.0,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_22.pdf,Note_NI_1404_22.pdf,یادداشت فهرست‌بها / فصل‌ها,1775.9,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_23.pdf,Note_NI_1404_23.pdf,یادداشت فهرست‌بها / فصل‌ها,2387.9,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_24.pdf,Note_NI_1404_24.pdf,یادداشت فهرست‌بها / فصل‌ها,578.4,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_25.pdf,Note_NI_1404_25.pdf,یادداشت فهرست‌بها / فصل‌ها,1962.4,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_26.pdf,Note_NI_1404_26.pdf,یادداشت فهرست‌بها / فصل‌ها,805.3,
